Keyword,Rank,Title_Of_Page,URL,Lenght_Of_Title,Presence_of_Keyword_in_Title,Title_Starts_with_Keyword,Lenght_of_Url,Presence_Of_Keyword_In_Url,Domain_Name,No_of_H1_Tags,Presence_of_Keyword_in_H1_Tag,No_of_H2_tags,Presence_of_Keyword_in_H2_Tag,No_of_H3_Tags,Presence_of_Keyword_in_H3_Tag,Content_Lenght,Keyword_Denisty,Lenght_of_Description,Keyword_in_Description,Total_Images,Images_Without_Alt_Tags,Images_With_Alt_Tag,Keyword_in_Alt_Tags_of_Images,Total_Links,Internal_Links,External_Links,Presence_of_Internal_Link,Presence_of_External_Links
wordpress,1.0,Download | WordPress.org,https://wordpress.org/download/,24,0,0,31,1,wordpress.org,3,1,3,0,0,0,3102,0.9,147,0,5,0,5,1,48,28,20,1,1
wordpress,2.0,"Blog Tool, Publishing Platform, and CMS — WordPress.org",https://wordpress.org/,55,0,0,22,1,wordpress.org,2,1,4,0,0,0,2281,0.96,90,0,7,3,4,1,33,23,10,1,1
wordpress,3.0,WordPress.com: Create a Free Website or Blog,https://wordpress.com/,44,1,0,22,1,wordpress.com,2,1,4,0,19,0,12844,0.18,154,0,37,13,24,3,57,43,14,1,1
wordpress,4.0,WordPress - Wikipedia,https://en.wikipedia.org/wiki/WordPress,21,1,1,39,1,en.wikipedia.org,1,1,11,0,23,0,41113,0.57,0,0,18,7,11,2,744,397,347,1,1
wordpress,5.0,What is WordPress? A free tutorial video by WP101®,https://www.wp101.com/tutorial/what-is-wordpress/,50,0,0,49,1,www.wp101.com,1,1,1,1,3,1,8019,0.74,131,0,3,0,3,1,44,35,9,1,1
wordpress,6.0,WordPress - Apps on Google Play,https://play.google.com/store/apps/details?id=org.wordpress.android&hl=en&gl=US,31,1,1,79,1,play.google.com,2,1,6,0,0,0,10262,0.17,3749,1,44,28,16,0,98,86,12,1,1
wordpress,7.0,What Is WordPress? Explained for Beginners - Kinsta,https://kinsta.com/knowledgebase/what-is-wordpress/,51,0,0,51,1,kinsta.com,1,1,11,1,13,1,12268,0.79,268,0,18,2,16,6,79,69,10,1,1
wordpress,8.0,A Beginner's Guide To Creating A WordPress Website ...,https://www.smashingmagazine.com/2016/02/beginners-guide-creating-wordpress-website/,54,1,1,84,1,www.smashingmagazine.com,1,1,0,0,14,0,36461,0.22,150,0,34,10,24,2,121,59,62,1,1
wordpress,9.0,How to Make a WordPress Website - Easy Tutorial - Create ...,https://www.wpbeginner.com/guides/,60,1,1,34,0,www.wpbeginner.com,1,0,0,0,2,0,52783,0.43,152,0,152,102,50,12,162,129,33,1,1
wordpress,10.0,"WordPress Cloud Hosting, WordPress Installer, Docker ...",https://bitnami.com/stack/wordpress,56,1,1,35,1,bitnami.com,1,1,1,0,30,0,7701,0.21,0,0,5,0,5,2,57,41,16,1,1
wordpress,11.0,What is WordPress? | WordPress 101 Tutorials - iThemes,https://ithemes.com/tutorials/what-is-wordpress/,54,1,1,48,1,ithemes.com,1,1,15,1,9,1,26773,1.03,133,0,19,11,8,7,104,78,26,1,1
wordpress,12.0,‎WordPress on the App Store,https://apps.apple.com/us/app/wordpress/id335703880,27,0,0,51,1,apps.apple.com,1,0,11,0,7,0,10563,0.14,159,0,25,25,0,0,36,13,23,1,1
